date_only,avg_sentiment,post_count,stock
2021-01-28,-0.051348387096774195,124,AMC
2021-01-29,-0.01577790622992935,1557,AMC
2021-01-30,0.06147375000000001,80,AMC
2021-01-31,0.13574117647058825,51,AMC
2021-02-01,0.06408775510204082,49,AMC
2021-02-02,0.039898837209302325,86,AMC
2021-02-03,0.013721511627906977,172,AMC
2021-02-04,0.1236353448275862,116,AMC
2021-02-05,0.03844166666666667,168,AMC
2021-02-06,0.029318719211822664,203,AMC
2021-02-07,0.18189,20,AMC
2021-02-08,0.04605454545454546,22,AMC
2021-02-09,0.10728,10,AMC
2021-02-10,0.018775000000000007,8,AMC
2021-02-11,0.09106666666666667,3,AMC
2021-02-12,-0.50455,4,AMC
2021-02-13,-0.06854999999999999,4,AMC
2021-02-14,-0.25,2,AMC
2021-02-15,0.5994,1,AMC
2021-02-16,0.2997,2,AMC
2021-02-17,0.1806,2,AMC
2021-02-18,-0.18647999999999998,5,AMC
2021-02-19,-0.06431666666666667,6,AMC
2021-02-20,-0.2186285714285714,7,AMC
2021-02-21,0.12391428571428571,7,AMC
2021-02-22,-0.3424666666666667,3,AMC
2021-02-23,0.17432777777777778,18,AMC
2021-02-24,0.02351111111111111,9,AMC
2021-02-25,0.084604,25,AMC
2021-02-26,0.12285,24,AMC
2021-02-27,0.15437692307692308,13,AMC
2021-02-28,0.14802500000000002,8,AMC
2021-03-01,0.16168,10,AMC
2021-03-02,0.1113,20,AMC
2021-03-03,0.10649375,16,AMC
2021-03-04,0.10749090909090908,11,AMC
2021-03-05,-0.08272142857142857,14,AMC
2021-03-06,0.13979411764705882,17,AMC
2021-03-07,0.00311428571428572,7,AMC
2021-03-08,0.137025,4,AMC
2021-03-09,-0.006862499999999994,8,AMC
2021-03-10,0.12651,30,AMC
2021-03-11,0.07394722222222222,36,AMC
2021-03-12,0.26890833333333336,12,AMC
2021-03-13,0.29125,6,AMC
2021-03-14,-0.03383333333333333,3,AMC
2021-03-15,0.064,2,AMC
2021-03-16,0.1665896551724138,29,AMC
2021-03-17,0.08762,15,AMC
2021-03-18,0.2063375,8,AMC
2021-03-19,0.13352500000000003,4,AMC
2021-03-20,0.05464,5,AMC
2021-03-21,0.20095,2,AMC
2021-03-22,0.4404,1,AMC
2021-03-23,0.09866666666666667,3,AMC
2021-03-24,-0.07474285714285714,7,AMC
2021-03-25,0.030641666666666668,12,AMC
2021-03-26,0.139825,8,AMC
2021-03-27,0.23463333333333333,3,AMC
2021-03-29,0.2998,5,AMC
2021-03-30,0.2732,1,AMC
2021-03-31,0.36985,2,AMC
2021-04-02,-0.11175,2,AMC
2021-04-03,-0.1531,1,AMC
2021-04-04,0.2732,1,AMC
2021-04-06,0.1155,3,AMC
2021-04-08,0.2732,1,AMC
2021-04-09,0.5106,1,AMC
2021-04-10,-0.34,1,AMC
2021-04-12,-0.07356666666666667,3,AMC
2021-04-13,0.12716,5,AMC
2021-04-14,0.2131333333333334,3,AMC
2021-04-15,0.14594999999999997,4,AMC
2021-04-16,0.233225,4,AMC
2021-04-17,0.5081,2,AMC
2021-04-18,0.0,2,AMC
2021-04-20,0.0,1,AMC
2021-04-21,0.2732,1,AMC
2021-04-23,0.3568,2,AMC
2021-04-24,0.5106,1,AMC
2021-04-27,0.0,2,AMC
2021-04-28,0.148,2,AMC
2021-04-29,0.2294,2,AMC
2021-05-05,0.91,1,AMC
2021-05-06,0.0,2,AMC
2021-05-07,0.327975,4,AMC
2021-05-08,0.16399999999999998,2,AMC
2021-05-10,0.125,2,AMC
2021-05-11,0.4588,1,AMC
2021-05-12,0.36083333333333334,3,AMC
2021-05-13,0.47185,2,AMC
2021-05-14,0.35108,5,AMC
2021-05-15,-0.00645,4,AMC
2021-05-18,-0.03634999999999999,4,AMC
2021-05-19,0.23086,5,AMC
