lag,correlation,p_value
-5,-0.008424402390404435,0.9390050080885565
-4,0.06279843628063567,0.5656874550727745
-3,0.060918895747463495,0.5751274278144121
-2,0.02874833696649337,0.7903298945235627
-1,0.057117501134935106,0.5949598648226874
0,-0.05533410906211625,0.6044550129321531
1,-0.06878415432186108,0.5218512786057865
2,0.0155751304987298,0.8854789090626781
3,0.08642113952879955,0.4260817762032835
4,0.11742573104490592,0.2815888656440949
5,-0.08317116401773467,0.449194120707996
